년도,대학,전형명,계열,모집단위,전과목,국,수,영,탐1,탐2
2022,동덕여대,교과,자연,컴퓨터학과,2.946,5.0,3.0,1.0,5.0,6.0
2022,성신여대,교과,자연,컴퓨터공학과,2.946,5.0,3.0,1.0,5.0,6.0
2022,성결대,교과,인문,국제개발협력학과,7.017,6.0,6.0,6.0,6.0,6.0
2022,숙명여대,논술,자연,기계시스템학부,3.892,4.0,3.0,1.0,5.0,5.0
2022,이화여대,논술,자연,물리학과,3.892,4.0,3.0,1.0,5.0,5.0
2022,가톨릭관동대,교과,자연,임상병리학과,3.423,4.0,4.0,4.0,3.0,5.0
2022,부산가톨릭대,종합,자연,임상병리학과,3.423,4.0,4.0,4.0,3.0,5.0
2022,삼육보건대학교,학생부위주,인문,아동보육과,8.128,,,,,
2022,부천대학교,학생부위주,인문,아동보육과,8.128,,,,,
2022,인덕대학교,학생부위주,예체능,멀티미디어디자인학과,5.825,7.0,9.0,4.0,6.0,7.0
2022,평택대,교과,인문,광고홍보학과,5.825,7.0,9.0,4.0,6.0,7.0
2022,백석예술대학교,종합,예체능,공연예술학부(극작),3.564,4.0,6.0,4.0,4.0,6.0
